id,matzavbriut,k_gova,k_mishkal,k_safaikarit,labour_force_participation,gilGroup,MeanIncomeGroup,hashavani,chipesshana,teudagvoha,k_shnlimklali,k_sug_mosad,m_eretz,mazav,mamadavoda,mekabelsachar,min,semelmishlach,safanosefetanglit,k_semelmiktzlim,incomeGroupUp,future_hour_income
5990004,VeryGood,179_175,74_70,Hebrew,FALSE,22-25,7777,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Nevermarried,nan,nan,Male,nan,yes,nan,FALSE,0
2930001,Good,169_165,74_70,Hebrew,FALSE,76-80,7,YesUsually,no,Nodiplomaordegree,nan,nan,Asia,Widowed,nan,nan,Male,nan,no,nan,FALSE,0
10930001,VeryGood,190andmore,89_85,Hebrew,TRUE,41-45,7,Rarely,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,nan,Israel,Married,SelfEmployed,nan,Male,Managers,yes,business,FALSE,0
42280001,NotsoGood,nan,109_105,Russian,TRUE,51-55,5640,Never,nan,Primaryschoolorintermediateschooldiploma,13_15,nan,Euorope_America,Divorced,Employed,FromWorkingPlace,Male,Managers,yes,nan,FALSE,33.125
36560004,VeryGood,nan,64_60,Hebrew,FALSE,,7,nan,no,Secondaryschooldiploma?€“matriculationcertificate,11_12,nan,Israel,Nevermarried,nan,nan,Male,nan,yes,nan,TRUE,0
49270002,VeryGood,164_160,59_55,Hebrew,FALSE,31-35,7,YesUsually,no,Post_secondaryschooldiploma_non_academictrack_,16andmore,nan,Israel,Married,nan,nan,Female,nan,yes,nan,FALSE,0
18020001,VeryGood,190andmore,nan,Hebrew,FALSE,26-30,7,Rarely,yes,Secondaryschooldiploma?€“matriculationcertificate,13_15,nan,Israel,Nevermarried,nan,nan,Male,nan,yes,nan,TRUE,0
44400002,VeryGood,159_155,59_55,Hebrew,TRUE,31-35,25628,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,AcademidColleges,Euorope_America,Nevermarried,Employed,FromWorkingPlace,Female,AcademicPreffesionals,yes,business,FALSE,98.79545455
830001,VeryGood,169_165,64_60,Hebrew,FALSE,61-65,7,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Israel,Widowed,SelfEmployed,nan,Female,AcademicPreffesionals,yes,Teachertrainingandeducationscience,FALSE,0
19280006,VeryGood,nan,nan,Hebrew,TRUE,18-21,7,nan,nan,Primaryschoolorintermediateschooldiploma,13_15,nan,Israel,Nevermarried,Employed,FromWorkingPlace,Male,Skilledagricultural_forestryandfisheryworkers,yes,nan,TRUE,0
44770001,Good,164_160,74_70,Hebrew,FALSE,71-75,7,Never,no,Nodiplomaordegree,9_10,nan,Africa,Widowed,nan,nan,Female,nan,no,nan,FALSE,0
34230005,NotsoGood,159_155,nan,Russian,FALSE,61-65,7,Never,no,Primaryschoolorintermediateschooldiploma,11_12,nan,Euorope_America,Widowed,nan,nan,Female,nan,no,nan,FALSE,0
14010002,VeryGood,174_170,94_90,Hebrew,TRUE,41-45,11576,Rarely,nan,Primaryschoolorintermediateschooldiploma,16andmore,nan,Israel,Married,SelfEmployed,nan,Male,Building_metals_electricity_printingandsuchproffesionals,no,nan,FALSE,0
45730002,NotsoGood,nan,94_90,Arabic,FALSE,76-80,7,Never,no,Nodiplomaordegree,5_8,nan,Israel,Married,nan,nan,Male,nan,no,nan,FALSE,0
19230001,VeryGood,179_175,89_85,Hebrew,TRUE,31-35,25628,Rarely,nan,Primaryschoolorintermediateschooldiploma,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Male,AcademicPreffesionals,yes,nan,FALSE,112.5
16620001,Good,174_170,nan,Arabic,TRUE,41-45,7,YesUsually,nan,Primaryschoolorintermediateschooldiploma,11_12,nan,Israel,Married,nan,nan,Male,nan,no,nan,FALSE,0
42830001,VeryGood,nan,nan,Hebrew,TRUE,36-40,11576,Never,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,TeachingStudiCollege,Israel,Nevermarried,Employed,FromWorkingPlace,Male,AcademicPreffesionals,yes,other,FALSE,94.28571429
27720002,Good,174_170,64_60,Hebrew,FALSE,51-55,7,Never,no,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Married,nan,nan,Female,nan,no,nan,FALSE,0
29300001,Good,174_170,99_95,Hebrew,TRUE,51-55,11576,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Africa,Married,Employed,FromWorkingPlace,Male,AcademicPreffesionals,yes,Teachertrainingandeducationscience,FALSE,0
41670002,NotGoodatAll,nan,104_100,Hebrew,FALSE,66-70,7,Rarely,no,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Israel,Divorced,nan,nan,Male,nan,yes,business,FALSE,0
31520002,Good,169_165,69_65,Hebrew,TRUE,56-60,25628,Never,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,yes,nan,FALSE,0
24530002,VeryGood,nan,74_70,Hebrew,TRUE,31-35,5640,Never,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,TeachingStudiCollege,Israel,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,yes,other,FALSE,44.50885417
